Miasto,2020,2021,2022,2023,2024
Delhi,30291000,31327000,32066000,32941000,33807000
Mumbai,20667656,21042538,21417420,21673149,21673570
Kolkata,14850066,15210426,15570786,15845219,15845219
Bangalore,12869000,13438000,14008000,14395000,14395443
Chennai,11235000,11644000,12053000,12336000,12336047
Hyderabad,10317000,10693000,11068000,11337000,11337852
Ahmedabad,8254000,8554000,8854000,9062000,9061819
Surat,7751000,8040000,8330000,8582000,8581733
Pune,6832000,7089000,7345000,7526000,7525717
Jaipur,3998000,4153000,4308000,4411000,4411107
